10,1.00,0.96,0.92,0.89,0.86,0.84,0.81,0.79,0.76,0.74
9.5,0.98,0.94,0.91,0.88,0.85,0.82,0.80,0.77,0.75,0.72
9,0.96,0.92,0.89,0.86,0.84,0.81,0.79,0.76,0.74,0.71
8.5,0.94,0.91,0.88,0.85,0.82,0.80,0.77,0.75,0.72,0.69
8,0.92,0.89,0.86,0.84,0.81,0.79,0.76,0.74,0.71,0.68
7.5,0.91,0.88,0.85,0.82,0.80,0.77,0.75,0.72,0.69,0.67
7,0.89,0.86,0.84,0.81,0.79,0.76,0.74,0.71,0.68,0.65
6.5,0.88,0.85,0.82,0.80,0.77,0.75,0.72,0.69,0.67,0.64
